Colony,Date,Alive/Dead,ROI,Area,Mean,Min,Max,Total Area,Dead Area,% Live Tissue
43,2015-09-24,Alive,1,509088,120.792,40,203,509088,2173,0.995731583
,,Dead,2,453,84.064,53,137,,,
,,Dead,3,912,90.874,63,165,,,
,,Dead,4,535,85.604,67,117,,,
,,Dead,5,273,75.297,64,105,,,
43,2016-02-04,Alive,1,925228,89.243,21,255,899950,103095,0.885443636
,,No count,2,25278,181.435,56,255,,,
,,Dead,3,1697,124.577,72,184,,,
,,Dead,4,10157,135.113,65,202,,,
,,Dead,5,8617,108.063,45,193,,,
,,Dead,6,3153,119.333,54,180,,,
,,Dead,7,8580,116.553,53,203,,,
,,Dead,8,7656,105.093,43,196,,,
,,Dead,9,4514,116.02,50,205,,,
,,Dead,10,18407,104.44,40,200,,,
,,Dead,11,4110,86.667,29,166,,,
,,Dead,12,5385,102.162,31,192,,,
,,Dead,13,3084,125.092,59,185,,,
,,Dead,14,819,112.44,53,169,,,
,,Dead,15,3675,128.827,56,208,,,
,,Dead,16,946,94.789,43,128,,,
,,Dead,17,17107,115.958,44,215,,,
,,Dead,18,3808,115.267,50,209,,,
,,Dead,19,1380,141.401,80,198,,,
43,2016-05-26,Alive,1,1376891,123.185,28,255,1309335,115276,0.911958361
,,Dead,2,14181,131.029,42,232,,,
,,No count,3,67556,156.973,65,255,,,
,,Dead,4,4820,148.155,44,229,,,
,,Dead,5,5236,159.602,46,239,,,
,,Dead,6,18080,144.483,45,244,,,
,,Dead,7,4449,155.923,46,235,,,
,,Dead,8,11150,135.368,46,231,,,
,,Dead,9,1678,142.702,68,194,,,
,,Dead,10,8996,129.238,44,239,,,
,,Dead,11,4975,139.394,54,225,,,
,,Dead,12,4754,106.875,54,218,,,
,,Dead,13,6483,139.046,48,240,,,
,,Dead,14,17731,138.837,48,238,,,
,,Dead,15,5060,160.505,52,239,,,
,,Dead,16,928,168.768,92,222,,,
,,Dead,17,1416,139.246,57,229,,,
,,Dead,18,930,128.102,70,204,,,
,,Dead,19,2302,143.166,61,207,,,
,,Dead,20,1616,158.657,71,232,,,
,,Dead,21,491,145.409,81,229,,,
43,2016-09-20,Alive,1,705359,84.221,0,247,697220,47964,0.931206793
,,No count,2,3385,25.12,5,152,,,
,,No count,3,4754,24.326,1,168,,,
,,Dead,4,697,156.214,39,219,,,
,,Dead,5,730,100.527,18,187,,,
,,Dead,6,1860,92.827,4,239,,,
,,Dead,7,9028,83.278,0,221,,,
